EPA REGISTRATION NUMBER,PRODUCT NAME,RESTRICTED USE,COMPANY CODE,COMPANY NAME,PRODUCT TYPE,PC_NAME,PC_PCT
100-1000,Demon Wp Insecticide In Water-Soluble Packets,N,100,"SYNGENTA CROP PROTECTION, LLC","INSECTICIDE, MITICIDE",Cypermethrin,40
100-1001,Fluazifop-P-Butyl Technical,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,Fluazifop-P-butyl,93
100-1013,Lambda-Cyhalothrin Technical,N,100,"SYNGENTA CROP PROTECTION, LLC","INSECTICIDE, MITICIDE",lambda-Cyhalothrin,89
100-1014,Paclobutrazol 2Sc,N,100,"SYNGENTA CROP PROTECTION, LLC",PLANT GROWTH REGULATOR,Paclobutrazol,22.9
100-1015,Tefluthrin Technical,N,100,"SYNGENTA CROP PROTECTION, LLC","INSECTICIDE, MITICIDE",Tefluthrin,94
100-1016,Fomesafen Paste,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,Sodium salt of fomesafen,77
100-1017,Fomesafen Technical,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE TERRESTRIAL,Fomesafen,98
100-1037,Clipper E 20 Ul Tree Growth Regulator,N,100,"SYNGENTA CROP PROTECTION, LLC",REGULATOR,Paclobutrazol,2.51
100-1050,Talon-G Rodenticide Bait Pack Mini-Pellets With Bitrex,N,100,"SYNGENTA CROP PROTECTION, LLC","POISON, MULTIPLE DOSE, RODENTICIDE",Brodifacoum,0.005
100-1052,Talon-G Rodenticide Pellets With Bitrex,N,100,"SYNGENTA CROP PROTECTION, LLC","POISON, SINGLE DOSE, RODENTICIDE",Brodifacoum,0.005
100-1055,Talon Weatherblok Xt,N,100,"SYNGENTA CROP PROTECTION, LLC","POISON, SINGLE DOSE",Brodifacoum,0.005
100-1056,Havoc Rodenticide Bait Pack Pellets With Bitrex,N,100,"SYNGENTA CROP PROTECTION, LLC","POISON, SINGLE DOSE, RODENTICIDE",Brodifacoum,0.005
100-1059,Fusion Herbicide,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE TERRESTRIAL,Fluazifop-P-butyl / Fenoxaprop-p-ethyl,"24.15, 6.76"
100-1061,Reglone Desiccant,N,100,"SYNGENTA CROP PROTECTION, LLC","DESICCANT, HERBICIDE TERRESTRIAL, HERBICIDE AQUATIC, ALGAECIDE, REGULATOR",Diquat dibromide,37.3
100-1062,Diquat Concentrate,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE,Diquat dibromide,41.1
100-1063,Reward Manufacturing Concentrate,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE TERRESTRIAL,Diquat dibromide,37.3
100-1066,Demand Cs Insecticide,N,100,"SYNGENTA CROP PROTECTION, LLC","INSECTICIDE, MITICIDE",lambda-Cyhalothrin,9.7
100-1067,Paraquat Concentrate Es,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE TERRESTRIAL,Paraquat dichloride,45.6
100-1070,Fusilade DX Herbicide,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE TERRESTRIAL,Fluazifop-P-butyl,24.5
100-1075,Force 3G Insecticide,Y,100,"SYNGENTA CROP PROTECTION, LLC","INSECTICIDE, MITICIDE",Tefluthrin,3
100-1080,Brodifacoum Concentrate II,N,100,"SYNGENTA CROP PROTECTION, LLC","POISON, SINGLE DOSE, RODENTICIDE",Brodifacoum,0.25
100-1084,Fusilade II Turf And Ornamental Herbicide,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE TERRESTRIAL,Fluazifop-P-butyl,24.5
100-1086,Karate Ec-W Insecticide,Y,100,"SYNGENTA CROP PROTECTION, LLC","INSECTICIDE, MITICIDE",lambda-Cyhalothrin,13.1
100-1087,Force St Insecticide,N,100,"SYNGENTA CROP PROTECTION, LLC","INSECTICIDE, MITICIDE",Tefluthrin,26.8
100-1088,Scimitar Gc Insecticide,Y,100,"SYNGENTA CROP PROTECTION, LLC","INSECTICIDE, MITICIDE",lambda-Cyhalothrin,9.7
100-1091,Reward Landscape And Aquatic Herbicide,N,100,"SYNGENTA CROP PROTECTION, LLC","HERBICIDE TERRESTRIAL, HERBICIDE AQUATIC, ALGAECIDE",Diquat dibromide,37.3
100-1092,Fomesafen Sodium Salt Aqueous Concentrate,N,100,"SYNGENTA CROP PROTECTION, LLC",HERBICIDE TERRESTRIAL,Sodium salt of fomesafen,27.5
100-1093,Heritage Fungicide,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Azoxystrobin,50
100-1097,Karate Insecticide With Zeon Technology,Y,100,"SYNGENTA CROP PROTECTION, LLC","INSECTICIDE, MITICIDE",lambda-Cyhalothrin,22.8
100-1098,Abound Flowable Fungicide,N,100,"SYNGENTA CROP PROTECTION, LLC",FUNGICIDE,Azoxystrobin,22.9
100-1101,Flexstar,N,100,"SYNGENTA CROP PROTECTION, LLC","DESICCANT, HERBICIDE TERRESTRIAL",Sodium salt of fomesafen,22.1
