PRODUCT ID_DEC,EPA REGISTRATION NUMBER_DEC,PRODUCT NAME_DEC,RESTRICTED USE_DEC,PRODUCT STATUS_DEC,COMPANY CODE_DEC,COMPANY NAME_DEC,PC_NAME_DEC,PC_PCT_DEC,PRODUCT TYPE_DEC,PRODUCT USE_DEC,EPA REGISTRATION NUMBER_EPA,PRODUCT NAME_EPA,PREVIOUS REG NUMBER_EPA,DISTRIBUTOR REG NUMBER_EPA,DISTRIBUTOR PRODUCT NAME_EPA,RESTRICTED USE_EPA,PRODUCT STATUS_EPA,COMPANY CODE_EPA,COMPANY NAME_EPA,PC_NAME_EPA,PC_PCT_EPA,PRODUCT TYPE_EPA
423,51070-2,Spectracide Lawn & Garden Insect Cont,N,EXPIRED,008845,SPECTRUM GROUP,"Aromatic Petroleum Distillate, Oil, Solvent Or Hydrocarbons / Diazinon","54.4, 25.0",INSECTICIDE,TURF,,,,,,,,,,,,
424,51070-3,Spectracide 6000,N,EXPIRED,008845,SPECTRUM GROUP,Diazinon,5.0,INSECTICIDE,TURF,,,,,,,,,,,,
425,51070-4,Spectracide Granular,N,EXPIRED,008845,SPECTRUM GROUP,Diazinon,2.0,INSECTICIDE,TURF,,,,,,,,,,,,
588,201-59,Pydrin Insecticide 2.4 Emulsifiable Concentrate,N,EXPIRED,000352,CORTEVA AGROSCIENCE LLC,Belmark,30.0,INSECTICIDE,AGRICULTURAL,,,,,,,,,,,,
610,50660-2,Bladex 80W Herbicide,N,EXPIRED,000352,CORTEVA AGROSCIENCE LLC,Bladex,80.0,INSECTICIDE,AGRICULTURAL,,,,,,,,,,,,
611,50660-3,Bladex 4L Herbicide,N,EXPIRED,000352,CORTEVA AGROSCIENCE LLC,Bladex,43.0,INSECTICIDE,AGRICULTURAL,,,,,,,,,,,,
796,241-103,Pay-Off Insecticide,N,EXPIRED,000241,BASF CORP AG PRODUCTS,Flucythrinate,30.0,INSECTICIDE,AGRICULTURAL,,,,,,,,,,,,
797,241-EUP-108,Scepter Soybean Herbicide,N,EXPIRED,000241,BASF CORP AG PRODUCTS,Soybean Oil,18.1,HERBICIDE,AGRICULTURAL,,,,,,,,,,,,
817,255-31-542,Pce Prolin Rat Bait,N,EXPIRED,000255,AMERICAN FLUORIDE CORPORATION,Sulfa-Q 20 / Warfarin,"0.025, 0.025",RODENTICIDE,INDUSTRIAL,,,,,,,,,,,,
864,4682-1-257,Fresh Pine Detergent/Disinfectant,N,EXPIRED,059667,SPECIALITY AEROSOLS,"Bio-Clave / Soap / Ethylenediaminetetraacetic Acid, Sodium Salt / Arquad Dmcb, Component Of    (With 169108) / Pine Oil","2.0, 8.5, 0.3, 6.0, 15.0",DISINFECTANT,INDUSTRIAL,,,,,,,,,,,,
883,264-70,Larvin Le Thiodicarb Insecticide-Aqueous Flowable,N,EXPIRED,000264,BAYER CROPSCIENCE LP,Thiodicarb,35.3,INSECTICIDE,AGRICULTURAL,,,,,,,,,,,,
889,264-113,Larvin 80 Df,N,EXPIRED,000264,BAYER CROPSCIENCE LP,Thiodicarb,80.0,INSECTICIDE,AGRICULTURAL,,,,,,,,,,,,
965,50980-3,Temik 15G,N,EXPIRED,000264,BAYER CROPSCIENCE LP,Aldicarb,15.0,INSECTICIDE,AGRICULTURAL,,,,,,,,,,,,
966,50980-4,Temik 10G,N,EXPIRED,000264,BAYER CROPSCIENCE LP,Aldicarb,10.0,INSECTICIDE,AGRICULTURAL,,,,,,,,,,,,
980,70027-53,Stable & Horse Fly Spray,N,EXPIRED,000270,FARNAM COMPANIES INC,"Apavap / Pine Oil / Aromatic Petroleum Distillate, Oil, Solvent Or Hydrocarbons","1.0, 2.0, 97.0",INSECTICIDE,DOMESTIC ANIMALS,,,,,,,,,,,,
1054,275-EUP-27,Abg-3034 Plant Growth Regulator,N,EXPIRED,000275,ABBOTT LABORATORIES,"Promalin, Component Of    (With 116902)",2.0,GROWTH REGULATOR,AGRICULTURAL,,,,,,,,,,,,
1124,NY780000,Furadan 4 Flowable,N,EXPIRED,000279,FMC CORP AG PRODUCTS GROUP,Carbofuran,40.64,INSECTICIDE,AGRICULTURAL,,,,,,,,,,,,
1430,50940-1-6437,Omite-6E Agricultural Miticide,N,EXPIRED,000400,MACDERMID AGRICULTURAL SOLUTIONS,Propargite,68.1,MITICIDE,AGRICULTURAL,,,,,,,,,,,,
1572,51150-2,Tordon 10K Pellets,N,EXPIRED,000464,MC (US) 3 LLC,Chloramp,11.6,HERBICIDE,AGRICULTURAL,,,,,,,,,,,,
1641,476-1609,Folpet50Wp,N,EXPIRED,010182,ZENECA AG PRODUCTS,Folpet,50.0,FUNGICIDE,AGRICULTURAL,,,,,,,,,,,,
1642,476-1609,Folpet50-Wp,N,EXPIRED,010182,ZENECA AG PRODUCTS,Folpet,50.0,FUNGICIDE,HOME GARDEN,,,,,,,,,,,,
1659,476-2040,Folpet Technical,N,EXPIRED,000476,STAUFFER CHEMICAL COMPANY,Folpet,88.0,FUNGICIDE,MANUFACTURING,,,,,,,,,,,,
1688,478-11,Real-Kill Extra Strength Roach And Ant Killer,N,EXPIRED,000478,REALEX,"Mgk 264 / Exthrin / Chlorpyrifos / Amsco 140 / Aromatic Petroleum Distillate, Oil, Solvent Or Hydrocarbons","0.4, 0.054, 0.5, 16.732, 0.28",INSECTICIDE,HOUSEHOLD,,,,,,,,,,,,
1828,524-60,Mon 4621,N,EXPIRED,000524,BAYER CROPSCIENCE LP,Amidochlor,41.6,HERBICIDE,TURF,,,,,,,,,,,,
2031,1697-51,Mabex Triple Action Closet Freshner,N,EXPIRED,001697,THE MABEX CO,"Mgk 264 / Oils, Jasmine","99.5, 0.5",INSECTICIDE,RESIDENTIAL,,,,,,,,,,,,
2032,1697-52,Mabex Triple Action Moth Brick,N,EXPIRED,001697,THE MABEX CO,"Mgk 264 / Oils, Jasmine","99.5, 0.5",INSECTICIDE,RESIDENTIAL,,,,,,,,,,,,
2596,2290-39,Siduron Granules,N,EXPIRED,002290,THE TERRE CO OF NEW JERSEY,Siduron,4.7,HERBICIDE,TURF,,,,,,,,,,,,
2606,2292-5,Larvex Para Refill,N,EXPIRED,002292,WILLERT HOME PRODUCTS,P-Dichlorobenzene,100.0,"FUNGICIDE, INSECTICIDE",HOUSEHOLD,,,,,,,,,,,,
2744,2568-17,95 Super Tropic Red Anti-Fouling,N,EXPIRED,002568,JOTUN PAINTS INC,C.I. 77402,24.76,ANTIFOULANT,INDUSTRIAL,,,,,,,,,,,,
